No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tondangow;7173010001;Tondangow;71.73.01.1003
2;Pangolombian;7173010002;Pangolombian;71.73.01.1004
3;Lahendong;7173010003;Lahendong;71.73.01.1002
4;Pinaras;7173010004;Pinaras;71.73.01.1001
5;Kampung Jawa;7173010005;Kampung Jawa;71.73.01.1006
6;Tumatangtang;7173010006;Tumatangtang;71.73.01.1005
7;Lansot;7173010007;Lansot;71.73.01.1007
8;Uluindano;7173010008;Uluindano;71.73.01.1009
9;Walian;7173010009;Walian;71.73.01.1008
10;Walian Satu;7173010010;Walian Satu;71.73.01.1010
11;Walian Dua;7173010011;Walian Dua;71.73.01.1011
12;Tumatangtang Satu;7173010012;Tumatangtang Satu;71.73.01.1012
