No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Taram;1308030001;Taram;13.07.05.2001
2;Bukik Limbuku;1308030002;Bukik Limbuku;13.07.05.2004
3;Pilubang;1308030003;Pilubang;13.07.05.2011
4;Batu Balang;1308030004;Batu Balang;13.07.05.2006
5;Koto Tuo;1308030005;Koto Tuo;13.07.05.2010
6;Lubuak Batingkok;1308030006;Lubuak Batingkok;13.07.05.2009
7;Gurun;1308030007;Gurun;13.07.05.2008
8;Sarilamak;1308030008;Sarilamak;13.07.05.2007
9;Tarantang;1308030009;Tarantang;13.07.05.2003
10;Solok Bio-bio;1308030010;Solok Bio Bio;13.07.05.2002
11;Harau;1308030011;Harau;13.07.05.2005
