No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Karan Aur;1377020001;Karan Aur;13.77.01.1001
2;Jalan Baru;1377020002;Jalan Baru;13.77.01.1012
3;Ujung Batung;1377020003;Ujung Batung;13.77.01.1015
4;Jalan Kereta Api;1377020004;Jalan Kereta Api;13.77.01.1014
5;Cimparuh;1377020005;Cimparuh;13.77.01.2021
6;Alai Gelombang;1377020006;Alai Gelombang;13.77.01.1009
7;Taratak;1377020007;Taratak;13.77.01.1013
8;Kampung Baru;1377020008;Kampung Baru;13.77.01.2020
9;Lohong;1377020009;Lohong;13.77.01.1003
10;Pasir;1377020010;Pasir;13.77.01.1004
11;Kampung Perak;1377020011;Kampung Perak;13.77.01.1002
12;Pondok Ii;1377020012;Pondok Ii;13.77.01.1006
13;Jawi-jawi I;1377020013;Jawi Jawi I;13.77.01.1010
14;Jawi-jawi Ii;1377020014;Jawi Jawi Ii;13.77.01.1011
15;Kampung Jawa Ii;1377020015;Kampung Jawa Ii;13.77.01.1008
16;Kampung Jawa I;1377020016;Kampung Jawa I;13.77.01.1007
17;Kampung Pondok;1377020017;Kampung Pondok;13.77.01.1005
18;Pauh Barat;1377020018;Pauh Barat;13.77.01.2017
19;Pauh Timur;1377020019;Pauh Timur;13.77.01.2018
20;Rawang;1377020020;Rawang;13.77.01.2019
21;Jati Hilir;1377020021;Jati Hilir;13.77.01.1016
22;Jati Mudik;1377020022;Jati Mudik;13.77.01.2025
