No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Inderapura Timur;1302031001;Inderapura Timur;13.01.13.2009
2;Inderapura Utara;1302031002;Inderapura Utara;13.01.13.2001
3;Pulau Rajo Inderapura;1302031003;Pulau Rajo Inderapura;13.01.13.2010
4;Tluk Kualo Inderapura;1302031004;Tluk Kualo Inderapura;13.01.13.2007
5;Palokan Inderapura;1302031005;Palokan Inderapura;13.01.13.2005
6;Tanah Bakali Inderapura;1302031006;Tanah Bakali Inderapura;13.01.13.2008
7;Lubuk Betung Inderapura;1302031007;Lubuk Betung Inderapura;13.01.13.2006
8;Damar Lapan Batang Inderapura;1302031008;Damar Lapan Batang Inderapura;13.01.13.2003
9;Muara Inderapura;1302031009;Muara Inderapura;13.01.13.2002
10;Lalang Panjang Inderapura;1302031010;Lalang Panjang Inderapura;13.01.13.2004
