No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Silaut;1302011001;Silaut;13.01.15.2001
2;Sambungo;1302011002;Sambungo;13.01.15.2010
3;Air Hitam;1302011003;Air Hitam;13.01.15.2009
4;Lubuk Bunta;1302011004;Lubuk Bunta;13.01.15.2008
5;Durian Seribu;1302011005;Durian Seribu;13.01.15.2007
6;Pasir Binjai;1302011006;Pasir Binjai;13.01.15.2005
7;Talang Binjai;1302011007;Talang Binjai;13.01.15.2006
8;Sungai Sarik;1302011008;Sungai Sarik;13.01.15.2003
9;Sungai Pulai;1302011009;Sungai Pulai;13.01.15.2004
10;Sungai Sirah;1302011010;Sungai Sirah;13.01.15.2002
