No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Rantau Bayur;1607010;Rantau Bayur;16.07.11
2;Betung;1607020;Betung;16.07.05
3;Suak Tapeh;1607021;Suak Tapeh;16.07.16
4;Pulau Rimau;1607030;Pulau Rimau;16.07.04
5;Tungkal Ilir;1607031;Tungkal Ilir;16.07.15
6;Banyuasin Iii;1607040;Banyuasin Iii;16.07.03
7;Sembawa;1607041;Sembawa;16.07.17
8;Talang Kelapa;1607050;Talang Kelapa;16.07.10
9;Tanjung Lago;1607051;Tanjung Lago;16.07.12
10;Banyuasin I;1607060;Banyuasin I;16.07.01
11;Air Kumbang;1607061;Air Kumbang;16.07.19
12;Rambutan;1607070;Rambutan;16.07.06
13;Muara Padang;1607080;Muara Padang;16.07.07
14;Muara Sugihan;1607081;Muara Sugihan;16.07.13
15;Makarti Jaya;1607090;Makarti Jaya;16.07.09
16;Air Saleh;1607091;Air Salek;16.07.14
17;Banyuasin Ii;1607100;Banyuasin Ii;16.07.02
18;Muara Telang;1607110;Muara Telang;16.07.08
19;Sumber Marga Telang;1607111;Sumber Marga Telang;16.07.18
