No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Muara Padang;1607080003;Muara Padang;16.07.07.2001
2;Karang Anyar;1607080009;Karang Anyar;16.07.07.2003
3;Tanjung Baru;1607080010;Tanjungbaru;16.07.07.2002
4;Margo Mulyo 20;1607080011;---;---
5;Purwodadi;1607080012;Purwodadi;16.07.07.2006
6;Sumber Makmur;1607080013;Sumber Makmur;16.07.07.2007
7;Sido Mulyo 18;1607080014;---;---
8;Air Gading;1607080015;Air Gading;16.07.07.2008
9;Tirto Raharjo;1607080016;Tirto Raharjo;16.07.07.2009
10;Marga Sugihan;1607080017;Margo Sugihan;16.07.07.2038
11;Sidorejo;1607080018;Sido Rejo;16.07.07.2013
12;Sidomulyo 20;1607080019;Sido Mulyo 18;16.07.07.2012
13;Daya Makmur;1607080020;Daya Makmur;16.07.07.2011
14;Daya Utama;1607080021;Daya Utama;16.07.07.2010
15;Tirta Jaya;1607080022;Tirta Jaya;16.07.07.2042
