No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Darma Raharja;1604111001;Darma Raharja;16.04.19.2018
2;Suka Bakti;1604111002;Suka Bakti;16.04.19.2016
3;Sidomakmur;1604111003;Sido Makmur;16.04.19.2019
4;Saung Naga;1604111004;Saung Naga;16.04.19.2001
5;Penantian;1604111005;Penantian;16.04.19.2002
6;Singapura;1604111006;Singapura;16.04.19.2010
7;Babat Baru;1604111007;Babatan Baru;16.04.19.2006
8;Ulak Bandung;1604111008;Ulak Bandung;16.04.19.2011
9;Jajaran Baru;1604111009;Jajaran Baru;16.04.19.2004
10;Wonorejo;1604111010;Wonorejo;16.04.19.2005
11;Suka Merindu;1604111011;Suka Merindu;16.04.19.2003
12;Jajaran Lama;1604111012;Jajaran Lama;16.04.19.2007
13;Lubuk Seketi;1604111013;Lubuk Seketi;16.04.19.2008
14;Sukarami;1604111014;Sukarami;16.04.19.2009
15;Purwo Rejo;1604111015;Purworejo;16.04.19.2015
16;Bandarjaya;1604111016;Bandar Jaya;16.04.19.2012
17;Wanaraya;1604111017;Wanaraya;16.04.19.2014
18;Purnamasari;1604111018;Purnama Sari;16.04.19.2013
19;Mekar Jaya;1604111019;Mekar Jaya;16.04.19.2017
