No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bangke;1604040001;Bangke;16.04.07.2001
2;Tebat Langsat;1604040002;Tebat Langsat;16.04.07.2002
3;Tunggul Bute;1604040003;Tunggul Bute;16.04.07.2011
4;Tanjung Raman;1604040004;Tanjung Raman;16.04.07.2010
5;Gunung Lewat;1604040005;Gunung Liwat;16.04.07.2004
6;Singapura;1604040006;Singapure;16.04.07.2003
7;Kebon Jati;1604040007;Kebun Jati;16.04.07.2005
8;Bintuhan;1604040008;Bintuhan;16.04.07.2006
9;Muntar Alam Baru;1604040009;Mutar Alam Baru;16.04.07.2007
10;Muntar Alam Lama;1604040010;Mutar Alam Lama;16.04.07.2009
11;Pandan Arang Ulu;1604040011;Pandan Arang Ulu;16.04.07.2008
12;Karang Endah;1604040012;Karang Endah;16.04.07.2012
13;Lawang Agung;1604040013;Lawang Agung;16.04.07.2017
14;Kota Agung;1604040014;Kota Agung;16.04.07.2016
15;Sukarame;1604040015;Sukarami;16.04.07.2018
16;Karang Agung;1604040016;Karang Agung;16.04.07.2013
17;Sukaraja;1604040017;Suka Raja;16.04.07.2014
18;Gedung Agung;1604040018;Gedung Agung;16.04.07.2015
19;Muara Gula;1604040019;Muara Gula;16.04.07.2031
20;Tanjung Bulan;1604040020;Tanjung Bulan;16.04.07.2032
21;Tanjung Beringin;1604040037;Tanjung Beringin;16.04.07.2019
22;Pagar Ruyung;1604040039;Pagaruyung;16.04.07.2020
