No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rambai Kaca;1604063001;Rambai Kaca;16.04.29.2006
2;Kapitan;1604063002;Kapitan;16.04.29.2005
3;Sukamerindu;1604063003;Sukamerindu;16.04.29.2001
4;Gunung Liwat;1604063004;Gunung Liwat;16.04.29.2004
5;Karang Caya;1604063005;Karang Caya;16.04.29.2003
6;Guru Agung;1604063006;Guru Agung;16.04.29.2002
7;Tanjung Agung;1604063007;Tanjung Agung;16.04.29.2010
8;Sukaraja;1604063008;Sukaraja;16.04.29.2009
9;Tanjung Raya;1604063009;Tanjung Raya;16.04.29.2008
10;Pagar Kaya;1604063010;Pagar Kaya;16.04.29.2007
