No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Segamit;1603011001;Segamit;16.03.10.2004
2;Cahaya Alam;1603011002;Cahaya Alam;16.03.10.2002
3;Tanjung Tiga;1603011003;Tanjung Tiga;16.03.10.2001
4;Tanjung Agung;1603011004;Tanjung Agung;16.03.10.2007
5;Datar Lebar;1603011005;Datar Lebar;16.03.10.2003
6;Siring Agung;1603011006;Siring Agung;16.03.10.2005
7;Aremantai;1603011007;Aremantai;16.03.10.2006
8;Pajar Bulan;1603011008;Pajar Bulan;16.03.10.2008
9;Pelakat;1603011009;Pelakat;16.03.10.2009
10;Danau Gerak;1603011010;Danau Gerak;16.03.10.2010
