No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kasmaran;1606020026;Kasmaran;16.06.06.2009
2;Toman;1606020027;Toman;16.06.06.2008
3;Babat;1606020028;Babat;16.06.06.1038
4;Mangun Jaya;1606020029;Mangun Jaya;16.06.06.1039
5;Muara Punjung;1606020030;Muara Punjung;16.06.06.2005
6;Beruga;1606020031;Beruge;16.06.06.2004
7;Sugiwaras;1606020032;Sugi Waras;16.06.06.2003
8;Sugi Raya;1606020033;Sugi Raya;16.06.06.2002
9;Sereka;1606020034;Sereka;16.06.06.2001
10;Sri Mulyo;1606020035;Srimulyo;16.06.06.2023
11;Sungai Angit;1606020036;Sungai Angit;16.06.06.2022
12;Bangun Sari;1606020037;Bangun Sari;16.06.06.2007
13;Pangkalan Jaya;1606020038;Pangkalan Jaya;16.06.06.2042
