No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rimbah Ukur;1606040001;Rimba Ukur;16.06.01.2008
2;Sungai Medak;1606040002;Sungai Medak;16.06.01.2006
3;Sungai Batang_ C.6;1606040003;Sungai Batang;16.06.01.2007
4;Sukarami;1606040004;Sukarami;16.06.01.2001
5;Soak Baru;1606040005;Soak Baru;16.06.01.1011
6;Balai Agung;1606040006;Balai Agung;16.06.01.1012
7;Serasan Jaya;1606040007;Serasan Jaya;16.06.01.1010
8;Kayuara;1606040008;Kayu Ara;16.06.01.1009
9;Lumpatan;1606040009;Lumpatan;16.06.01.2002
10;Bailangu;1606040010;Bailangu;16.06.01.2003
11;Muara Teladan;1606040022;Muara Teladan;16.06.01.2004
12;Bandar Jaya;1606040023;Bandar Jaya;16.06.01.2005
13;Lumpatan Ii;1606040024;Lumpatan 2;16.06.01.2013
14;Bailangu Timur;1606040025;Baliangu Timur;16.06.01.2014
