No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kali Deras;1602020015;Kalideras;16.02.04.2037
2;Sumber Deras;1602020016;Sumber Deras;16.02.04.2038
3;Pematang Panggang;1602020017;Pematang Panggang;16.02.04.2001
4;Kembang Jajar Sp7 At;1602020018;Kembang Jajar;16.02.04.2047
5;Suryaadi;1602020025;Surya Adi;16.02.04.2006
6;Jaya Bhakti;1602020026;Jaya Bakti;16.02.04.2009
7;Margo Bhakti;1602020027;Marga Bakti;16.02.04.2008
8;Makarti Mulya;1602020028;Makarti Mulya;16.02.04.2007
9;Suka Mukti;1602020029;Sukamukti;16.02.04.2025
10;Sungai Sodong;1602020031;Sungai Sodong;16.02.04.2002
11;Mekar Wangi;1602020032;Mekar Wangi;16.02.04.2026
12;Karya Mukti;1602020033;Karya Mukti;16.02.04.2035
13;Pagar Dewa;1602020049;Pagar Dewa;16.02.04.2005
14;Kota Baru;1602020050;Kota Baru;16.02.04.2050
15;Sido Basuki;1602020051;Sido Basuki;16.02.04.2051
16;Pematang Kasih;1602020052;Pematang Kasih;16.02.04.2052
17;Labuhan Jaya;1602020053;Labuhan Jaya;16.02.04.2053
