No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sukajaya;1608021001;Sukajaya;16.09.13.2001
2;Kota Batu;1608021002;Kota Batu;16.09.13.2002
3;Pagar Dewa;1608021003;Pagar Dewa;16.09.13.2003
4;Tanjung Jati;1608021004;Tanjung Jati;16.09.13.2004
5;Gunung Aji;1608021005;Gunung Aji;16.09.13.2005
6;Pilla;1608021006;Pilla;16.09.13.2006
7;Gunung Raya;1608021007;Gunung Raya;16.09.13.2007
8;Remanam Jaya;1608021008;Remanam Jaya;16.09.13.2008
9;Way Wangi Seminung;1608021009;Way Wangi Seminung;16.09.13.2016
10;Tanjung Baru;1608021010;Tanjung Baru;16.09.13.2015
11;Mekar Sari;1608021011;Mekar Sari;16.09.13.2012
12;Bumi Agung;1608021012;Bumi Agung;16.09.13.2011
13;Kiwis Raya;1608021013;Kiwis Raya;16.09.13.2009
14;Sigigok Raya;1608021014;Segigok Raya;16.09.13.2010
15;Gedung Ranau;1608021015;Gedung Ranau;16.09.13.2014
16;Bedeng Tiga;1608021016;Bedeng Tiga;16.09.13.2013
