No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pandan Jaya;1609040001;Pandan Jaya;16.08.06.2012
2;Riang Bandung;1609040002;Riang Bandung;16.08.06.2002
3;Karang Negara;1609040003;Karang Negara;16.08.06.2001
4;Sukanegara;1609040012;Suka Negara;16.08.06.2021
5;Jati Mulyo Ii;1609040013;Jati Mulya Ii;16.08.06.2011
6;Sri Mulyo;1609040014;Sri Mulyo;16.08.06.2009
7;Rasuan Baru;1609040015;Rasuan Baru;16.08.06.2014
8;Kertanegara;1609040016;Karta Negara;16.08.06.2006
9;Kota Negara;1609040018;Kota Negara;16.08.06.2005
10;Pandan Agung;1609040019;Pandan Agung;16.08.06.2007
11;Margo Tani;1609040020;Margo Tani;16.08.06.2010
12;Banban Rejo;1609040021;Banbanrejo;16.08.06.2020
13;Riang Bandung Ilir;1609040022;Riang Bandung Ilir;16.08.06.2024
14;Dadi Mulyo;1609040023;Dadimulyo;16.08.06.2023
15;Sri Kencana;1609040024;Srikencana;16.08.06.2022
16;Margotani Ii;1609040025;Margotani Ii;16.08.06.2025
17;Kotanegara Timur;1609040026;Kota Negara Timur;16.08.06.2026
18;Talang Giring;1609040027;Talang Giring;16.08.06.2027
19;Kalirejo;1609040028;Kalirejo;16.08.06.2028
