No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tanjung Kemala;1609010008;Tanjung Kemala;16.08.01.2006
2;Kota Baru;1609010009;Kota Baru;16.08.01.2009
3;Pasar Martapura;1609010010;Pasar Martapura;16.08.01.1008
4;Paku Sengkunyit;1609010011;Paku Sengkunyit;16.08.01.1014
5;Dusun Martapura;1609010012;Dusun Martapura;16.08.01.1007
6;Keromongan;1609010013;Keromongan;16.08.01.2010
7;Perjaya;1609010014;Perjaya;16.08.01.2011
8;Kota Baru Barat;1609010021;Kotabaru Barat;16.08.01.2020
9;Sukomulyo;1609010022;Sukomulyo;16.08.01.2015
10;Kota Baru Selatan;1609010023;Kotabaru Selatan;16.08.01.2021
11;Sungai Tuha Jaya;1609010024;Sungai Tuha Jaya;16.08.01.1017
12;Terukis Rahayu;1609010025;Terukis Rahayu;16.08.01.1018
13;Bukit Sari;1609010026;Bukit Sari;16.08.01.1016
14;Veteran Jaya;1609010027;Veteran Jaya;16.08.01.1019
15;Perjaya Barat;1609010028;Perjaya Barat;16.08.01.2022
16;Tanjung Kemala Barat;1609010029;Tanjung Kemala Barat;16.08.01.2023
