No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sentang;1208170001;Sentang;12.09.20.1004
2;Kedai Ledang;1208170002;Kedai Ledang;12.09.20.1010
3;Kisaran Naga;1208170003;Kisaran Naga;12.09.20.1009
4;Teladan;1208170004;Teladan;12.09.20.1001
5;Kisaran Timur;1208170005;Kisaran Timur;12.09.20.1008
6;Selawan;1208170006;Selawan;12.09.20.1005
7;Mutiara;1208170007;Mutiara;12.09.20.1006
8;Si Umbut Baru;1208170008;Siumbut Baru;12.09.20.1003
9;Siumbut - Umbut;1208170009;Siumbut Umbut;12.09.20.1002
10;Karang Anyer;1208170010;Karang Anyer;12.09.20.1011
11;Gambir Baru;1208170011;Gambir Baru;12.09.20.1012
12;Lestari;1208170012;Lestari;12.09.20.1007
