No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sido Mulyo;1219070001;Sidomulyo;12.19.01.2012
2;Aek Nauli;1219070002;Aek Nauli;12.19.01.2003
3;Sei Buah Keras;1219070003;Sei Buah Keras;12.19.01.2010
4;Sei Rakyat;1219070004;Sei Rakyat;12.19.01.2011
5;Tanjung Sigoni;1219070005;Tanjung Sigoni;12.19.01.2013
6;Pematang Cengkring;1219070006;Pematang Cengkering;12.19.01.2009
7;Pakam Raya;1219070007;Pakam Raya;12.19.01.2008
8;Pakam;1219070008;Pakam;12.19.01.2007
9;Lalang;1219070009;Lalang;12.19.01.2005
10;Medang;1219070010;Medang;12.19.01.2006
11;Durian;1219070011;Durian;12.19.01.2004
12;Nenas Siam;1219070012;Nenas Siam;12.19.01.2014
13;Pangkalan Dodek Baru;1219070013;Pangkalan Dodek Baru;12.19.01.1002
14;Pangkalan Dodek;1219070014;Pangkalan Dodek;12.19.01.1001
15;Sei Raja;1219070015;Sei Raja;12.19.01.2020
16;Cengkering Pekan;1219070016;Cengkering Pekan;12.19.01.2019
17;Pakam Raya Selatan;1219070017;Pakam Raya Selatan;12.19.01.2015
18;Mandarsah;1219070018;Mandarsah;12.19.01.2016
19;Medang Baru;1219070019;Medang Baru;12.19.01.2017
20;Pematang Nibung;1219070020;Pematang Nibung;12.19.01.2018
21;Pagurawan;1219070021;Pagurawan;12.19.01.1021
