No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mardinding Julu;1212070001;Mardinding Julu;12.07.07.2007
2;Penen;1212070002;Penen;12.07.07.2010
3;Per Ria Ria;1212070003;Peria-ria;12.07.07.2009
4;Sari Laba Jahe;1212070004;Sarilaba Jahe;12.07.07.2015
5;Biru Biru;1212070005;Biru-biru;12.07.07.2002
6;Kuala Dekah;1212070006;Kuala Dekah;12.07.07.2005
7;Rumah Gerat;1212070007;Rumah Gerat;12.07.07.2011
8;Tanjung Sena;1212070008;Tanjung Sena;12.07.07.2016
9;Kuta Mulyo;1212070009;Kuta Mulyo;12.07.07.2004
10;Mbaruai;1212070010;Mbaruai;12.07.07.2006
11;Namo Tualang;1212070011;Namo Tualang;12.07.07.2017
12;Kampung Selamat;1212070012;Selamat;12.07.07.2014
13;Sidodadi;1212070013;Sidodadi;12.07.07.2012
14;Namo Suro Baru;1212070014;Namo Suro Baru;12.07.07.2008
15;Aji Baho;1212070015;Aji Baho;12.07.07.2001
16;Candi Rejo;1212070016;Candi Rejo;12.07.07.2003
17;Sidomulyo;1212070017;Sidomulyo;12.07.07.2013
