No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bandar Baru;1212030001;Bandar Baru;12.07.03.2001
2;Sikeben;1212030002;Sikeben;12.07.03.2025
3;Martelu;1212030003;Martelu;12.07.03.2014
4;Bukum;1212030004;Bukum;12.07.03.2008
5;Negri Gugung;1212030005;Negeri Gugung;12.07.03.2015
6;Cinta Rakyat;1212030006;Cinta Rakyat;12.07.03.2010
7;Ketangkuhen;1212030007;Ketangkuhen;12.07.03.2012
8;Suka Maju;1212030008;Suka Maju;12.07.03.2026
9;Buluh Awar;1212030009;Buluh Awar;12.07.03.2009
10;Batu Layang;1212030010;Batu Layang;12.07.03.2002
11;Rumah Pil-pil;1212030011;Rumah Pil Pil;12.07.03.2019
12;Suka Makmur;1212030012;Suka Makmur;12.07.03.2027
13;Durin Serugun;1212030013;Durin Serugun;12.07.03.2011
14;Ujung Deleng;1212030014;Ujung Deleng;12.07.03.2030
15;Tanjung Beringin;1212030015;Tanjung Beringin;12.07.03.2029
16;Tambunen;1212030016;Tambunen;12.07.03.2028
17;Puang Aja;1212030017;Puangaja;12.07.03.2016
18;Betimus Baru;1212030018;Betimus Mbaru;12.07.03.2004
19;Rumah Sumbul;1212030019;Rumah Sumbul;12.07.03.2020
20;Rumah Kinangkung Suka Piring;1212030020;---;---
21;Sala Bulan;1212030021;Sala Bulan;12.07.03.2021
22;Bengkurung;1212030022;Bengkurung;12.07.03.2005
23;Kuala;1212030023;Kuala;12.07.03.2013
24;Batu Mbelin;1212030024;Batu Mbelin;12.07.03.2003
25;Sibolangit;1212030025;Sibolangit;12.07.03.2024
26;Sembahe;1212030026;Sembahe;12.07.03.2023
27;Buah Nabar;1212030027;Buah Nabar;12.07.03.2007
28;Bingkawan;1212030028;Bingkawan;12.07.03.2006
29;Sayum Sabah;1212030029;Sayum Sabah;12.07.03.2022
30;Rambung Baru;1212030030;Rambung Baru;12.07.03.2018
