No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Hutasoit I;1215050001;Hutasoit I;12.16.05.2008
2;Lobutua;1215050002;Lobutua;12.16.05.2006
3;Pargaulan;1215050003;Pargaulan;12.16.05.2005
4;Naga Saribu I;1215050004;Nagasaribu I;12.16.05.2009
5;Naga Saribu Ii;1215050005;Nagasaribu Ii;12.16.05.2010
6;Siharjulu;1215050012;Siharjulu;12.16.05.2002
7;Sibuntuon Parpea;1215050013;Sibuntoan Parpea;12.16.05.2011
8;Sibuntuon Partur;1215050015;Sibuntuon Partur;12.16.05.2001
9;Sitolu Bahal;1215050016;Sitolu Bahal;12.16.05.2003
10;Tapian Nauli;1215050017;Tapian Nauli;12.16.05.2004
11;Siponjot;1215050018;Siponjot;12.16.05.2012
12;Dolok Margu;1215050019;Dolok Margu;12.16.05.2007
13;Sitio Ii;1215050020;Sitio Ii;12.16.05.2018
14;Hutasoit Ii;1215050021;Hutasoit Ii;12.16.05.2019
15;Bonan Dolok;1215050022;Bonan Dolok;12.16.05.2015
16;Sigompul;1215050023;Sigompul;12.16.05.2014
17;Nagasaribu Iv;1215050024;Nagasaribu Iv;12.16.05.2021
18;Nagasaribu V;1215050025;Nagasaribu V;12.16.05.2022
19;Nagasaribu Iii;1215050026;Nagasaribu Iii;12.16.05.2020
20;Sigumpar;1215050027;Sigumpar;12.16.05.2016
21;Parulohan;1215050028;Parulohan;12.16.05.2017
22;Habeahan;1215050029;Habeahan;12.16.05.2013
