No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Batang Nadenggan;1222010001;Batang Nadenggan;12.22.04.2002
2;Langga Payung;1222010002;Langga Payung;12.22.04.1001
3;Sabungan;1222010003;Sabungan;12.22.04.2003
4;Hajoran;1222010004;Hajoran;12.22.04.2004
5;Ujung Gading;1222010005;Ujung Gading;12.22.04.2005
6;Huta Godang;1222010006;Huta Godang;12.22.04.2006
7;Parimburan;1222010007;Parimburan;12.22.04.2007
8;Sampean;1222010008;Sampean;12.22.04.2008
9;Marsonja;1222010009;Marsonja;12.22.04.2009
10;Langga Payung Utara;1222010010;Langga Payung;12.22.04.1001
11;Ujung Lombang Baru;1222010011;Langga Payung;12.22.04.1001
12;Sabungan Hulu;1222010012;Sabungan;12.22.04.2003
13;Sabungan Hilir;1222010013;Sabungan;12.22.04.2003
