No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kuala Beringin;1223070001;Kuala Beringin;12.23.01.2003
2;Pulo Dogom;1223070002;Pulo Dogom;12.23.01.2005
3;Perkebunan Londut;1223070003;---;---
4;Perkebunan Kanopan Ulu;1223070004;Perkebunan Kanopan Ulu;12.23.01.2007
5;Parpaudangan;1223070005;Parpaudangan;12.23.01.2004
6;Aek Kanopan;1223070006;Aek Kanopan;12.23.01.1001
7;Perkebunan Membang Muda;1223070007;Perkebunan Membang Muda;12.23.01.2008
8;Perkebunan Labuhan Haji;1223070008;Perkebunan Labuhan Haji;12.23.01.2009
9;Perkebunan Hanna;1223070009;Perkebunan Hanna;12.23.01.2010
10;Aek Kanopan Timur;1223070010;Aek Kanopan Timur;12.23.01.1002
11;Sukarame;1223070011;Sukarame;12.23.01.2012
12;Sukarame Baru;1223070012;Sukarame Baru;12.23.01.2013
13;Sono Martani;1223070013;Sonomartani;12.23.01.2011
