No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Paya Bengkuang;1213150001;Paya Bengkuang;12.05.13.2006
2;Air Hitam;1213150002;Air Hitam;12.05.13.2005
3;Padang Langkat;1213150003;Padang Langkat;12.05.13.2004
4;Paluh Manis;1213150004;Paluh Manis;12.05.13.2002
5;Pekan Gebang;1213150005;Pekan Gebang;12.05.13.1001
6;Dogang;1213150006;Dogang;12.05.13.2007
7;Sangga Lima Perkebunan Serapuh;1213150007;---;---
8;Pasar Rawa;1213150008;Pasar Rawa;12.05.13.2003
9;Kwala Gebang;1213150009;Kwala Gebang;12.05.13.2009
10;Bukit Mengkirai;1213150010;Bukit Mengkirai;12.05.13.2010
11;Pasiran;1213150011;Pasiran;12.05.13.2011
