No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Perkebunan Tanjung Beringin;1213120001;Perkebunan Tanjung Beringin;12.05.10.2010
2;Sukajadi;1213120002;Suka Jadi;12.05.10.2011
3;Baru Pasar 8;1213120003;Baru Pasar Viii;12.05.10.2009
4;Paya Rengas;1213120004;Paya Rengas;12.05.10.2012
5;Hinai Kanan;1213120005;Hinai Kanan;12.05.10.2006
6;Sukadamai;1213120006;Suka Damai;12.05.10.2007
7;Kebun Lada;1213120007;Kebun Lada;12.05.10.1008
8;Tanjung Mulia;1213120008;Tanjung Mulya;12.05.10.2004
9;Muka Paya;1213120009;Muka Paya;12.05.10.2005
10;Cempa;1213120010;Cempa;12.05.10.2001
11;Batu Malenggang;1213120011;Batu Malenggang;12.05.10.2002
12;Tamaran;1213120012;Tamaran;12.05.10.2003
13;Suka Damai Timur;1213120013;Suka Damai Timur;12.05.10.2013
