No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Hayu Raja;1202051001;Hayuraja;12.13.04.2003
2;Kayu Laut;1202051002;Kayu Laut;12.13.04.2005
3;Tano Bato;1202051003;Tano Bato;12.13.04.1009
4;Roburan Lombang;1202051004;Roburan Lombang;12.13.04.2008
5;Roburan Dolok;1202051005;Roburan Dolok;12.13.04.2007
6;Lumban Dolok;1202051006;Lumban Dolok;12.13.04.2006
7;Huta Raja;1202051007;Huta Raja;12.13.04.2010
8;Hutaimbaru;1202051008;Hutarimbaru;12.13.04.2002
9;Aek Ngali;1202051009;Aek Ngali;12.13.04.2001
10;Huta Julu;1202051010;Huta Julu;12.13.04.2004
11;Pagaran Gala-gala;1202051011;Pagaran Gala-gala;12.13.04.2011
