No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Siti Rejo I;1275060001;Sitirejo I;12.71.01.1012
2;Sudi Rejo Ii;1275060002;Sudirejo Ii;12.71.01.1011
3;Sudi Rejo I;1275060003;Sudirejo 1;12.71.01.1010
4;Teladan Timur;1275060004;Teladan Timur;12.71.01.1008
5;Teladan Barat;1275060005;Teladan Barat;12.71.01.1009
6;Pasar Merah Barat;1275060006;Pasar Merah Barat;12.71.01.1007
7;M E S J I D;1275060007;Mesjid;12.71.01.1004
8;Kota Matsum Iii;1275060008;Kotamatsum Iii;12.71.01.1006
9;Sei Rengas I;1275060009;Sei Rengas I;12.71.01.1003
10;Pasar Baru;1275060010;Pasar Baru;12.71.01.1001
11;Pusat Pasar;1275060011;Pusat Pasar;12.71.01.1002
12;Pandau Hulu I;1275060012;Pandau Hulu I;12.71.01.1005
