No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lawa Lawa Luo Gomo;1214060013;Lawa-lawa Luo Gomo;12.14.02.2015
2;Siforoasi Gomo;1214060014;Sifaoro'asi Gomo;12.14.02.2024
3;Orahili Gomo;1214060015;Orahili Gomo;12.14.02.2023
4;Lolosoni;1214060018;Lolosoni;12.14.02.2017
5;Hilianaa Gomo;1214060019;Hiliana'a Gomo;12.14.02.2007
6;Doli Doli;1214060021;---;---
7;Suka Maju Mohili;1214060032;Suka Maju Mohili;12.14.02.2040
8;Tanonikoo;1214060036;Tanoniko'o;12.14.02.2035
9;Orahili Sibohou;1214060037;Orahili Sibohou;12.14.02.2041
10;Umbu Orahua;1214060038;Umbu Orahua;12.14.02.2043
11;Gunung Gabungan;1214060039;Gunung Gabungan;12.14.02.2042
