No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Hiliuso;1214072001;Hiliuso;12.14.20.2009
2;Tarewe;1214072002;Tarewe;12.14.20.2011
3;Sisarahili Huruna;1214072003;Sisarahili Huruna;12.14.20.2010
4;Sifalago;1214072004;Sifalago;12.14.20.2006
5;Tundumbaho;1214072005;Tundrumbaho;12.14.20.2008
6;Lalimanawa;1214072006;Lalimanawa;12.14.20.2007
7;Siforoasi;1214072007;Sifaoroasi;12.14.20.2005
8;Ehosakhozi;1214072009;Ehosakhozi;12.14.20.2001
9;Hilizoliga;1214072010;Hilizoliga;12.14.20.2003
10;Olayama;1214072011;Olayama;12.14.20.2004
11;Bawohosi;1214072012;Bawohosi;12.14.20.2002
12;Fadoro Tuhemberua;1214072013;Fadoro Tuhemberua;12.14.20.2012
13;Hilifalawu;1214072014;Hilifalawu;12.14.20.2013
14;Luahamofakhe;1214072015;Luahamofakhe;12.14.20.2014
15;'Sifaoro''asi Huruna';1214072016;Sifaoroasi Huruna;12.14.20.2015
16;Hilimanawa;1214072017;Hilimanawa;12.14.20.2016
17;Mombawa Oladano;1214072018;Mombawa Oladano;12.14.20.2017
