No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tuhegafoa;1214080001;Tuhegafoa;12.14.08.2030
2;Sisarahili Ekholo;1214080002;Sisarahili Ekholo;12.14.08.2022
3;Amuri;1214080003;Amuri;12.14.08.2001
4;Lolohowa;1214080010;Lolohowa;12.14.08.2017
5;Lolowau;1214080011;Lolowau;12.14.08.2016
6;Hilifadolo;1214080012;Hilifadolo;12.14.08.2009
7;Lolomoyo;1214080015;Lolomoyo;12.14.08.2015
8;Lolofaoso;1214080016;Lolofaoso;12.14.08.2014
9;Bawosaloo Siwalawa;1214080017;Bawosalo'o Siwalawa;12.14.08.2004
10;Botohili;1214080038;Botohili;12.14.08.2033
11;Samiri;1214080039;Samiri;12.14.08.2044
12;Hilimbowo Siwalawa;1214080040;Hilimbowo Siwalawa;12.14.08.2047
13;Nituwuboho;1214080041;Nituwu Boho;12.14.08.2048
14;Hilikara;1214080042;Hilikara;12.14.08.2035
