No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Botohilisaloo;1214035001;Botohilisalo'o;12.14.32.2002
2;Botohilitano;1214035002;Botohilitano;12.14.32.2001
3;Lagundri;1214035005;Lagundri;12.14.32.2003
4;Hiliametaniha;1214035006;Hiliamaetaniha;12.14.32.2005
5;Orahili Faomasi;1214035007;Orahili Faomasi;12.14.32.2004
6;Hilimaenamolo;1214035008;Hilimaenamolo;12.14.32.2009
7;Bawomaenamolo;1214035010;Bawomaenamolo;12.14.32.2010
8;Botohili Sorake;1214035011;Botohili Sorake;12.14.32.2008
9;Botohili Silambo;1214035012;Botohili Silambo;12.14.32.2007
10;Sondregeasi;1214035013;Sondregeasi;12.14.32.2006
