No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Luahandroito;1214062001;Luahandroito;12.14.17.2003
2;Tetegawaai;1214062002;Tetegawa'ai;12.14.17.2001
3;Hilimbaruzo;1214062003;Hilimbaruzo;12.14.17.2002
4;Siofabanua;1214062005;Siofabanua;12.14.17.2010
5;Tafulu;1214062006;Tafulu;12.14.17.2013
6;Hilimaufa;1214062007;Hilimaufa;12.14.17.2009
7;Ulu Mazo;1214062009;Ulu Mazo;12.14.17.2006
8;Tetegawai Ehomo;1214062010;Tetegawa'ai Ehomo;12.14.17.2011
9;Orahuahili;1214062011;Orahuahili;12.14.17.2005
10;Guigui;1214062012;Guigui;12.14.17.2007
