No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Hiliamaetaluo;1214032001;Hiliamaetaluo;12.14.12.2003
2;Hilisataro;1214032002;Hilisataro;12.14.12.2001
3;Hilinamoniha;1214032003;Hilinamoniha;12.14.12.2002
4;Bawoganowo;1214032004;Bawoganowo;12.14.12.2004
5;Hilialawa;1214032005;Hili'alawa;12.14.12.2005
6;Hilindrasoniha;1214032006;Hilindrasoniha;12.14.12.2006
7;Hilisataro Raya;1214032007;Hilisataro Raya;12.14.12.2008
8;Hilisataro Gewa;1214032008;Hilisataro Gewa;12.14.12.2009
9;Hiliasi;1214032009;Hiliasi;12.14.12.2011
10;Hilimagari;1214032010;Hilimagari;12.14.12.2007
11;Hilisoromi;1214032011;Hilisoromi;12.14.12.2010
12;Hilisataro Nandisa;1214032012;Hilisataro Nandisa;12.14.12.2013
13;Hilisataro Ehosofayo;1214032013;Hilisataro Eho Sofayo;12.14.12.2014
14;Hilindraso Raya;1214032014;Hilindraso Raya;12.14.12.2012
