No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Hiliotalua;1201070006;Hiliotalua;12.04.06.2006
2;Akhelaume;1201070008;Akhelauwe;12.04.06.2008
3;Tulombaho Saloo;1201070012;Tulumbaho Salo'o;12.04.06.2052
4;Olindrawa Sisarahili;1201070013;Olindrawa Sisarahili;12.04.06.2056
5;Lasela;1201070014;Lasela;12.04.06.2050
6;Hilisebua;1201070016;Hilisebua;12.04.06.2016
7;Somi;1201070017;Somi;12.04.06.2017
8;Sirete;1201070018;Sirete;12.04.06.2018
9;Hiliweto Gido;1201070019;Heliweto Gido;12.04.06.2019
10;Loloanaa Gido;1201070020;Loloana'a Gido;12.04.06.2020
11;Sisobahili;1201070022;Sisobahili;12.04.06.2022
12;Lahemo;1201070023;Lahemo;12.04.06.2023
13;Ladea;1201070024;Ladea;12.04.06.2024
14;Umbu;1201070027;Umbu;12.04.06.2027
15;Saewe;1201070028;Soewe;12.04.06.2028
16;Lolozasai;1201070029;Lolozasai;12.04.06.2029
17;Lasara Idanoi;1201070030;Lazara Idanoi;12.04.06.2030
18;Ladea Orahua;1201070031;Ladea Orahua;12.04.06.2051
19;Nifoloo Lauru;1201070032;Nifolo'o Lauru;12.04.06.2053
20;Somi Botogoo;1201070033;Somi Botogo'o;12.04.06.2055
21;Hilizoi;1201070034;Hilizoi;12.04.06.2054
