No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Gumarupu Lama;1220030004;Gumarupu Lama;12.20.06.2024
2;Aek Siala;1220030005;Aek Siala;12.20.06.2021
3;Padang Manjoir;1220030006;Padang Manjoir;12.20.06.2023
4;Gunung Martua;1220030007;Gunung Martua;12.20.06.2025
5;Sihambeng;1220030008;Sihambeng;12.20.06.2026
6;Aek Torop;1220030009;Aek Torop;12.20.06.2027
7;Torluk Muara Dolok;1220030016;Torluk Muara Dolok;12.20.06.2039
8;Napalombang;1220030019;Napa Lombang;12.20.06.2028
9;Hotang Sasa;1220030020;Hotang Sasa;12.20.06.2020
10;Bara;1220030021;Bara;12.20.06.2018
11;Simandiangin;1220030022;Simandiangin;12.20.06.2019
12;Bahal;1220030023;Bahal;12.20.06.2017
13;Pasir Pinang;1220030024;Pasir Pinang;12.20.06.2016
14;Portibi Jae;1220030025;Portibi Jae;12.20.06.2014
15;Portibi Julu;1220030026;Portibi Julu;12.20.06.2013
16;Gumarupu Baru;1220030027;Gumarupu Baru;12.20.06.2022
17;Balakka Torop;1220030028;Balakka Torop;12.20.06.2032
18;Napahalas;1220030029;Napahalas;12.20.06.2035
19;Sigama Napahalas;1220030030;Sigama Napahalas;12.20.06.2036
20;Mangaledang Lama;1220030032;Mangaledang Lama;12.20.06.2029
21;Janji Matogu;1220030033;Janji Matogu;12.20.06.2033
22;Mangaledang;1220030045;Mangaledang;12.20.06.2030
23;Bakkudu;1220030046;Bangkudu;12.20.06.2031
24;Muara Sigama;1220030047;Muara Sigama;12.20.06.2034
25;Rondaman Dolok;1220030048;Rondaman Dolok;12.20.06.2007
26;Tanjung Selamat;1220030049;Tanjung Salamat;12.20.06.2009
27;Aloban;1220030050;Aloban;12.20.06.2012
28;Rondaman Lombang;1220030051;Rondaman Lombang;12.20.06.2010
29;Sipirok;1220030052;Sipirok;12.20.06.2008
30;Parsarmaan;1220030053;Parsarmaan;12.20.06.2011
31;Hadungdung;1220030054;Hadungdung;12.20.06.2006
32;Gunung Manaon I;1220030055;Gunung Manaon I;12.20.06.2015
33;Gunung Baringin;1220030056;Gunung Baringin;12.20.06.2005
34;Aek Haruaya;1220030057;Aek Haruaya;12.20.06.2004
35;Lantosan I;1220030058;Lantosan I;12.20.06.2003
36;Sitopayan;1220030059;Sitopayan;12.20.06.2002
