No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Huta Ruhom;1221090034;Huta Ruhom;12.21.02.2053
2;Gading;1221090035;Gading;12.21.02.2065
3;Paran Napa Jae;1221090036;Paran Napa Jae;12.21.02.2067
4;Batu Sundung;1221090037;Batusundung;12.21.02.2071
5;Sidong-dong;1221090039;Sidongdong;12.21.02.2072
6;Bara Batu;1221090044;Bara Batu;12.21.02.2018
7;Tobing Tinggi;1221090045;Gunung Manaon;12.21.02.2022
8;Ginduang Batu;1221090046;Ginduang Batu;12.21.02.2020
9;Bahal Batu;1221090047;Bahal Batu;12.21.02.2019
10;Padang Matinggi;1221090048;Padang Matinggi;12.21.02.2016
11;Pangirkiran Dolok;1221090049;Pangirkiran Dolok;12.21.02.2013
12;Janji Raja;1221090050;Janji Raja;12.21.02.2012
13;Siboris Dolok;1221090051;Siboris Dolok;12.21.02.2015
14;Siboris Lombang;1221090052;Siboris Lombang;12.21.02.2023
15;Unte Rudang;1221090053;Unterudang;12.21.02.2030
16;Tandihat;1221090054;Tandihat;12.21.02.2017
17;Padang Garugur;1221090055;Padang Garugur;12.21.02.2021
18;Siparau;1221090056;Siparau;12.21.02.2029
19;Sihaborgoan Barumun;1221090057;Sihaborgoan Barumun;12.21.02.2014
20;Sisalean;1221090058;Sisalean;12.21.02.2027
21;Sibontar;1221090059;Sibontar;12.21.02.2068
22;Bire;1221090060;Bire;12.21.02.2061
23;Paran Napa Dolok;1221090061;Paran Napa Dolok;12.21.02.2056
24;Aek Siala;1221090062;Aek Siala;12.21.02.2070
25;Sibatu Loting;1221090063;Sibatu Loting;12.21.02.2026
26;Sihaborgoan Dalan;1221090064;Sihaborgoan Dalan;12.21.02.2003
27;Janji Manahan;1221090065;Janji Manahan;12.21.02.2028
28;Binanga;1221090066;Binanga;12.21.02.2010
29;Siboris Bahal;1221090067;Siboris Bahal;12.21.02.2006
30;Pasar Binanga;1221090068;Pasar Binanga;12.21.02.2002
31;Siolip;1221090069;Siolip;12.21.02.2008
32;Aek Tunjang;1221090070;Aek Tunjang;12.21.02.2009
33;Manombo;1221090071;Manombo;12.21.02.2011
34;Bangkudu;1221090072;Bangkudu;12.21.02.2007
35;Aek Tanduk;1221090073;Aek Tanduk;12.21.02.2004
36;Pp Makmur;1221090075;Pp. Makmur;12.21.02.2005
37;Gunung Malintang;1221090081;Gunung Malintang;12.21.02.2025
38;Paran Tonga;1221090082;Janji Matogu;12.21.02.2024
39;Gunung Baringin;1221090083;Gunung Baringin;12.21.02.2001
