No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Boho;1217010001;Boho;12.17.06.2007
2;Aek Sipitudai;1217010002;Aek Sipitudai;12.17.06.2004
3;Singkam;1217010003;Singkam;12.17.06.2002
4;Sarimarrihit;1217010004;Simarihit;12.17.06.2009
5;Sianjur Mulamula;1217010005;Sianjur Mula Mula;12.17.06.2006
6;Ginolat;1217010006;Ginolat;12.17.06.2010
7;Hutaginjang;1217010007;Huta Ginjang;12.17.06.2001
8;Siboro;1217010008;Siboro;12.17.06.2008
9;Hutagurgur;1217010009;Huta Gurgur;12.17.06.2005
10;Bonandolok;1217010010;Bonan Dolok;12.17.06.2011
11;Hasinggaan;1217010011;Hasinggaan;12.17.06.2003
12;Habeahan Naburahan;1217010012;Habeahan Naburahan;12.17.06.2012
