No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Huta Galuh;1218010001;Huta Galuh;12.18.10.2023
2;Rubun Dunia;1218010002;Rubun Dunia;12.18.10.2024
3;Sialtong;1218010003;Sialtong;12.18.10.2022
4;Bandar Bayu;1218010004;Bandar Bayu;12.18.10.2013
5;Kotarih Baru;1218010005;Kotarih Baru;12.18.10.2002
6;Durian Kondot;1218010006;Durian Kondot;12.18.10.2014
7;Kotarih Pekan;1218010007;Kotarih Pekan;12.18.10.2001
8;Perbahingan;1218010008;Perbahingan;12.18.10.2015
9;Sei Karih;1218010009;Sei Kari;12.18.10.2010
10;Banjaran Godang;1218010010;Banjaran Godang;12.18.10.2003
11;Sei Ujan-ujan;1218010011;Si Ujan Ujan;12.18.10.2004
