No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pargarutan Jae;1203070051;Pargarutan Jae;12.03.03.2083
2;Sijungkang;1203070054;Sijungkang;12.03.03.2079
3;Huraba;1203070058;Huraba;12.03.03.2008
4;Huta Ginjang;1203070060;Huta Ginjang;12.03.03.2014
5;Pargarutan Julu;1203070067;Pargarutan Julu;12.03.03.2013
6;Pargarutan Tonga;1203070070;Pargarutan Tonga;12.03.03.2004
7;Panompuan Jae;1203070076;Panompuan Jae;12.03.03.2003
8;Lantosan Rogas;1203070080;Lantosan Rogas;12.03.03.2069
9;Pasar Pargarutan;1203070094;Pasar Pargarutan;12.03.03.1098
10;Pargarutan Dolok;1203070095;Pargarutan Dolok;12.03.03.2095
11;Pal Xi;1203070096;Pall Xi;12.03.03.2097
12;Marisi;1203070097;Marisi;12.03.03.2012
13;Panompuan;1203070098;Panompuan;12.03.03.2094
14;Batang Tura Sirumambe;1203070099;Batang Tura Sirumambe;12.03.03.1099
15;Sanggapati;1203070100;Sanggapati;12.03.03.2096
