No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Manalu Purba;1205030001;Manalu Purba;12.02.11.2002
2;Manalu Dolok;1205030002;Manalu Dolok;12.02.11.2003
3;Manalu;1205030003;Manalu;12.02.11.2001
4;Huta Julu;1205030004;Hutajulu;12.02.11.2004
5;Aek Raja;1205030005;Aek Raja;12.02.11.2005
6;Huta Tinggi;1205030006;Hutatinggi;12.02.11.2006
7;Lobu Sunut;1205030007;Lobusunut;12.02.11.2007
8;Sisordak;1205030008;Sisordak;12.02.11.2008
9;Hutatua;1205030009;Hutatua;12.02.11.2010
10;Pertengahan;1205030010;Pertengahan;12.02.11.2009
11;Hutajulu Parbalik;1205030011;Hutajulu Parbalik;12.02.11.2011
12;Horisan Ranggitgit;1205030012;Horisan Ranggitgit;12.02.11.2012
13;Purba Dolok;1205030013;Purba Dolok;12.02.11.2013
14;Batuarimo;1205030014;Batuarimo;12.02.11.2014
